raw_api_name,canonical_name,file_name,status,notes,selected_for_run,run_phase,stage,test_file_exists,final_status,pytest_outcome,failure_category,root_cause_summary,tests_total,passed_count,skipped_count,xfailed_count,failed_count,error_count,fix_recommendation,auto_fixable,fix_applied,fix_target,rerun_status,changed_files,fix_artifact,report_path,intervention_type,intervention_reason,last_updated_utc
torch._dynamo.config,torch._dynamo.config,test__dynamo_config.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,8,8,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._dynamo.config.skip_fsdp_hooks,torch._dynamo.config.skip_fsdp_hooks,test__dynamo_config_skip_fsdp_hooks.py,analyzed,,yes,final,final,yes,analyzed,no_tests_recorded,UNKNOWN,未捕获到明确的失败详情。,0,0,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,human_required,unknown_failure,2026-03-23 15:52:24 UTC
torch._C.DispatchKey.Functionalize,torch._C.DispatchKey.Functionalize,test__C_DispatchKey_Functionalize.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,22,22,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._C.DispatchKeySet,torch._C.DispatchKeySet,test__C_DispatchKeySet.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,21,21,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._C._ExcludeDispatchKeyGuard,torch._C._ExcludeDispatchKeyGuard,test__C__ExcludeDispatchKeyGuard.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,16,16,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._from_functional_tensor,torch._from_functional_tensor,test__from_functional_tensor.py,fixed,,yes,final,final,yes,fixed,passed,NONE,未捕获到明确的失败详情。,17,17,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test__from_functional_tensor.py""]",runs/20260323T150914Z/fixes/test__from_functional_tensor.md,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._prims_common.make_contiguous_strides_for,torch._prims_common.make_contiguous_strides_for,test__prims_common_make_contiguous_strides_for.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,15,15,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.fx.node.has_side_effect,torch.fx.node.has_side_effect,test_fx_node_has_side_effect.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,13,13,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.nn.Module.__setattr__,torch.nn.Module.__setattr__,test_nn_Module___setattr__.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,15,15,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.nn.Module._parameters,torch.nn.Module._parameters,test_nn_Module__parameters.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,11,11,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._logging.warning_once,torch._logging.warning_once,test__logging_warning_once.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,12,12,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.autograd.graph._MultiHandle,torch.autograd.graph._MultiHandle,test_autograd_graph__MultiHandle.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,9,9,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
